แมงกะพรุนฝรั่งเศสอร่อยมาก,4
งานน่ากลัว,3
ฉันอารมณ์เสีย,3
โยนลูกบอล,1
เรื่องตลกดี,2
เกมเบสบอลที่คุณชอบคืออะไร,1
ฉันสุกเนื้อ,4
หยุดยุ่งอยู่รอบ ๆ,3
ฉันต้องการอาหารจีน,4
ปล่อยให้เราไปเล่นเบสบอล,1
คุณล้มเหลวในการออกกำลังกายนี้,3
เมื่อวานนี้เราหายไปอีกครั้ง,3
งานที่ดี,2
ฮ่าฮ่ามันตลกมาก,2
ฉันจะมีชีสเค้ก,4
ทำไมคุณรู้สึกไม่ดี,3
ฉันต้องการจะเล่นตลก,2
ฉันไม่เคยพูดว่าใช่สำหรับเรื่องนี้,3
ฝ่ายถูกยกเลิก,3
ลูกบอลอยู่ที่ไหน,1
ฉันผิดหวัง,3
ฮ่าฮ่าฮ่า ๆ,2
เธอตอบตกลง,2
เขาได้รับเงินเพิ่ม,2
ครอบครัวคือสิ่งที่ฉันมี,0
เขาสามารถเล่นได้ดีจริงๆ,1
ฉันรักดวงดาวและด้านหลัง,0
คุณชอบพิซซ่าไหม,4
คุณสมควรได้รับรางวัลนี้ทั้งหมด,2
ฉันคิดถึงคุณมากเหลือเกิน,0
ฉันชอบเสื้อของคุณ,2
เธอทำให้ฉันเป็นของขวัญ,0
คุณจะเป็นวาเลนไทน์ของฉันไหม,0
คุณล้มเหลวในระยะกลาง,3
ใครลงไปที่ร้านอาหาร,4
วันวาเลนไทน์อยู่ใกล้,0
น่ากลัวมาก,2
คุณมีลูกหรือเปล่า,1
เขาไม่สามารถทำอะไรได้,3
เขาชอบเบสบอล,1
คืนนี้เรามีอาหารค่ำแสนอร่อย,0
ผักมีสุขภาพดี,4
เขาเป็นเพื่อนที่ดี,0
อย่าพูดกับฉันอีก,3
ฉันคิดถึงเธอ,0
อาหารคือชีวิต,4
ฉันกำลังสนุก,2
ไม่ดีที่คุณไม่สามารถมากับเราได้,3
คุณอยากไปทานอาหารเย็นกันไหม,4
ฉันชอบยิ้ม,2
เขาทำงานที่ยอดเยี่ยม,2
หยุดตะโกนใส่ฉัน,3
ฉันรักการพัก,0
คุณฉลาดและมีพรสวรรค์อย่างไม่น่าเชื่อ,2
ฉันภูมิใจในความสำเร็จของคุณ,2
น่าเศร้ามากที่คุณไม่ได้มา,3
ตลก,2
หยุดพูดพล่าม,3
ไชโยสำหรับการประกาศว่ามีแรงฉุด,2
ความชำนาญเป็นพิเศษ,2
ฉันกำลังรอเธออยู่สองชั่วโมง,3
เธอใช้เวลาตลอดไปเพื่อเตรียมพร้อม,3
ยายของฉันคือความรักในชีวิตฉัน,0
ฉันจะฉลองเร็ว ๆ นี้,2
รหัสของฉันทำงานได้ดี แต่ผู้ให้คะแนนให้ฉันเป็นศูนย์,3
เธอเป็นคนที่น่ารักที่สุดที่ฉันเคยเห็น,0
เขาหัวเราะ,2
ฉันรักสุนัขของฉัน,0
ฉันรักแม่,0
งานที่ดี,2
คุณกล้าทำเช่นไร,3
ผู้ชายคนนี้เป็นเช่นเรื่องตลก,2
ฉันรักอาหารอินเดีย,4
คุณลงเล่นเบสบอลช่วงบ่ายนี้แล้ว,1
นี้ไม่ดี,3
ความโง่เขลาของคุณไม่มีขีด จำกัด,3
ฉันรักพ่อของฉัน,0
คุณต้องการกอดฉันไหม,0
เด็กผู้หญิงคนนี้มีความหมาย,3
ฉันรู้สึกตื่นเต้น,2
ฉันคิดถึงเขา,0
เกิดอะไรขึ้นกับคุณ,3
พวกเขาเป็นคนใจดีและเป็นมิตร,0
ผมรู้สึกประทับใจกับความทุ่มเทของคุณในโครงการนี้,2
เราทำได้,2
ฉันสั่งอาหาร,4
เสียงเหมือนแผนความสนุกฮะฮ่า,2
ผมมีความสุขสำหรับคุณ,2
คิดถึงคุณมาก,0
ผมรักคุณ,0
เรื่องตลกนี้กำลังฆ่าฉัน haha,2
คุณไม่มีคุณสมบัติสำหรับตำแหน่งนี้,3
คิดถึงคุณที่รักของฉัน,0
ฉันอยากกิน,4
ฉันรู้สึกตื่นเต้นมากที่ได้พบคุณหลังจากผ่านไปนาน,2
เขาเป็นนักเตะที่ดีที่สุด,1
ช่วงเวลาสนุก ๆ,2
อัลกอริทึมของฉันทำงานได้ไม่ดี,3
หยุดตะโกนใส่ฉัน,3
รอยยิ้มของเธอจึงมีเสน่ห์,2
เป็นวันที่แย่ที่สุดในชีวิต,3
เขาเป็นหนุ่มหล่อ,0
ไม่มีใครชอบเขา,3
เธอน่าสนใจ,0
มันเป็นเรื่องตลกนะ,2
เขาน่ารักมาก,0
คุณทำได้ดีในการสอบ,2
ฉันคิดว่าฉันจะอยู่คนเดียว,3
ให้อาหารร่วมกัน,4
เลวร้ายเกินไปที่คุณไม่ได้ที่นี่,3
ฉันอยากไปเล่น,1
คุณคือผู้แพ้,3
ฉันหิวมาก,4
คุณดูด,3
ขอแสดงความยินดี,2
คุณไม่สามารถแก้ปัญหาได้,3
ฉันทำกระเป๋าสตางค์ของฉันหาย,3
เธอไม่ได้ตอบข้อความของฉัน,3
ว่า catcher sucks,1
เจอกันที่ร้านอาหาร,4
ฉันต้มข้าว,4
ฉันพูดว่าใช่,2
ลูกอมคือชีวิต,2
เกมเพิ่งเสร็จสิ้น,1
คนฐานแรกมีลูก,1
ขอแสดงความยินดีกับการยอมรับของคุณ,2
งานนี้ยาวเกินไป,3
ฮ่า ๆ,2
