มาการูนฝรั่งเศสอร่อยมาก,4
งานแย่มาก,3
ฉันอารมณ์เสีย,3
โยนบอล,1
เรื่องตลกดี,2
เกมเบสบอลที่คุณชอบคืออะไร,1
ฉันกำลังปรุงเนื้อสัตว์,4
หยุดกวนแถวนี้ได้แล้ว,3
ฉันต้องการอาหารจีน,4
ปล่อยให้เราไปเล่นเบสบอล,1
คุณล้มเหลวในการออกกำลังกายนี้,3
เมื่อวานนี้เราแพ้อีกครั้ง,3
งานดี,2
ฮ่าฮ่ามันตลกมาก,2
ฉันจะมีชีสเค้ก,4
ทำไมคุณรู้สึกไม่ดี,3
ฉันต้องการที่จะเล่นตลก,2
ฉันไม่เคยบอกว่าใช่สำหรับเรื่องนี้,3
งานเลี้ยงถูกยกเลิก,3
บอลอยู่ที่ไหน,1
ฉันผิดหวัง,3
ฮ่าฮ่าฮ่า ,2
เธอบอกว่าใช่,2
เขาได้เงินดือนเพิ่ม,2
ครอบครัวเป็นสิ่งสำคัญที่สุด,0
เขาสามารถโยนลูกได้ดีจริงๆ,1
ฉันรักดวงดาวและกลับ,0
คุณชอบพิซซ่าไหม,4
คุณสมควรได้รับรางวัลนี้ทั้งหมด,2
ฉันคิดถึงคุณมาก,0
ฉันชอบเสื้อของคุณ,2
เธอมอบของขวัญให้ฉัน,0
คุณจะเป็นคนรักของฉัน,0
ทำข้อสอบไม่ได้,3
ใครอยากไปร้านอาหาร,4
วันวาเลนไทน์อยู่ใกล้แล้ว,0
เยี่ยมยอดมาก,2
คุณมีลูกเบสบอลไหม,1
เขาไม่สามารถทำอะไรได้,3
เขาชอบเบสบอล,1
วันนี้เรามีอาหารค่ำแสนอร่อยเช่นนี้,0
ผักมีสุขภาพดี,4
เขาเป็นเพื่อนที่ดี,0
ไม่เคยพูดคุยกับฉันอีกแล้ว,3
ฉันคิดถึงเธอ,0
อาหารคือชีวิต,4
ฉันมีความสนุกสนาน,2
เลวร้ายที่คุณไม่สามารถมากับเรา,3
คุณต้องการที่จะเข้าร่วมฉันสำหรับอาหารค่ำ,4
ฉันชอบยิ้ม,2
เขาได้งานที่น่าอัศจรรย์,2
หยุดตะโกนใส่ฉัน,3
ฉันรักการพัก,0
คุณฉลาดและมีพรสวรรค์อย่างไม่น่าเชื่อ,2
ฉันภูมิใจในความสำเร็จของคุณ,2
เสียใจที่คุณไม่ได้มา,3
ตลก,2
หยุดพูดพล่าม,3
ยอดไปเลยสำหรับการประกาศมีคนสนใจมันมาก,2
ความเชี่ยวชาญนี้เป็นที่ดี,2
ฉันกำลังรอเธออยู่สองชั่วโมง,3
เธอใช้เวลาตลอดไปเพื่อเตรียมพร้อม,3
ยายของฉันคือความรักในชีวิตของฉัน,0
ฉันจะฉลองเร็ว ๆ นี้,2
โค้ดของฉันทำงานได้ แต่อาจารย์ให้เกรดฉันศูนย์,3
เธอเป็นคนที่น่ารักที่สุดเท่าที่ฉันเคยเห็นมา,0
เขาหัวเราะ,2
ฉันรักสุนัขของฉัน,0
ฉันรักคุณแม่,0
ดีมาก,2
คุณมากล้าถามว่า,3
ผู้ชายคนนี้เป็นเช่นเรื่องตลก,2
ฉันรักอาหารอินเดีย,4
คุณลงเล่นเบสบอลช่วงบ่ายวันนี้ไหม,1
นี้ไม่ดี,3
